aya_id,page,x,y
1,1,121,189
2,1,165,244
3,1,265,299
4,1,117,297
5,1,116,347
6,1,170,402
7,1,156,506
8,2,294,241
9,2,275,294
10,2,109,347
11,2,171,453
12,2,107,507
13,3,317,78
14,3,119,119
15,3,33,163
16,3,303,249
17,3,127,291
18,3,36,335
19,3,93,377
20,3,169,460
21,3,111,463
22,3,198,549
23,3,246,592
24,3,31,634
25,4,59,78
26,4,211,119
27,4,150,206
28,4,312,332
29,4,151,376
30,4,309,504
31,4,263,589
32,4,33,636
33,5,32,162
34,5,180,375
35,5,31,462
36,5,60,547
37,5,29,635
38,6,228,76
39,6,390,162
40,6,60,207
41,6,391,290
42,6,226,378
43,6,393,463
44,6,31,509
45,6,31,596
46,6,31,638
47,7,121,75
48,7,28,120
49,7,187,203
50,7,229,289
51,7,194,333
52,7,199,374
53,7,34,420
54,7,393,502
55,7,34,506
56,7,322,588
57,7,31,635
58,8,279,118
59,8,148,162
60,8,392,245
61,8,34,248
62,8,34,292
63,8,126,334
64,8,391,462
65,8,147,507
66,8,162,550
67,8,37,638
68,9,231,119
69,9,207,205
70,9,30,335
71,9,29,635
72,10,72,118
73,10,148,203
74,10,327,289
75,10,178,331
76,10,115,373
77,10,75,459
78,10,33,543
79,10,34,629
80,11,233,74
81,11,61,162
82,11,31,206
83,11,230,289
84,11,397,458
85,11,266,547
86,11,36,636
87,12,33,36
88,12,309,118
89,12,388,244
90,12,204,332
91,12,283,417
92,12,67,463
93,12,34,634
94,13,35,78
95,13,184,379
96,13,325,464
97,13,83,593
98,13,31,636
99,14,29,120
100,14,389,289
101,14,303,420
102,14,32,466
103,14,31,638
104,15,31,75
105,15,389,157
106,15,56,247
107,15,393,372
108,15,125,418
109,15,34,463
110,15,289,546
111,15,33,635
112,16,151,380
113,16,392,461
114,16,37,508
115,16,40,637
116,17,164,78
117,17,280,164
118,17,212,250
119,17,394,420
120,17,394,506
121,17,297,592
122,17,35,635
123,18,334,117
124,18,223,163
125,18,166,292
126,18,32,335
127,18,221,421
128,18,112,465
129,18,370,504
130,18,133,594
131,18,31,638
132,19,131,122
133,19,242,206
134,19,112,250
135,19,245,336
136,19,232,422
137,19,334,549
138,19,32,638
139,20,188,78
140,20,205,163
141,20,156,249
142,20,169,335
143,20,363,373
144,20,193,377
145,20,276,461
146,20,210,591
147,20,31,635
148,21,178,79
149,21,37,207
150,21,390,335
151,21,319,378
152,21,61,421
153,21,248,592
154,21,34,635
155,22,319,120
156,22,286,333
157,22,299,504
158,22,30,634
159,23,107,78
160,23,182,121
161,23,223,207
162,23,236,292
163,23,299,465
164,23,137,505
165,23,86,548
166,23,124,591
167,23,27,634
168,24,287,79
169,24,393,163
170,24,393,207
171,24,278,250
172,24,100,334
173,24,390,464
174,24,203,506
175,24,389,592
176,24,389,635
177,24,30,632
178,25,94,206
179,25,33,335
180,25,209,419
181,25,34,507
182,25,118,591
183,25,90,632
184,25,34,635
185,26,314,120
186,26,390,203
187,26,94,249
188,26,290,377
189,26,135,505
190,26,243,590
191,26,30,634
192,27,191,293
193,27,202,463
194,27,142,507
195,27,108,592
196,27,32,635
197,28,209,79
198,28,282,163
199,28,128,290
200,28,73,292
201,28,138,551
202,28,30,634
203,29,211,335
204,29,138,420
205,29,297,590
206,29,35,634
207,30,89,119
208,30,265,160
209,30,101,205
210,30,337,331
211,30,185,374
212,30,34,633
213,31,258,167
214,31,275,341
215,31,33,384
216,31,341,557
217,31,31,600
218,31,32,644
219,32,80,121
220,32,152,207
221,32,270,292
222,32,91,334
223,32,260,421
224,32,213,508
225,32,387,593
226,32,31,635
227,33,100,79
228,33,393,208
229,33,289,422
230,33,243,551
231,33,33,636
232,34,164,122
233,34,227,421
234,34,232,507
235,34,33,636
236,35,37,119
237,35,130,333
238,35,33,461
239,35,390,590
240,35,33,632
241,36,231,78
242,36,108,122
243,36,209,166
244,36,131,336
245,36,300,550
246,36,29,635
247,37,33,202
248,37,306,372
249,37,253,374
250,37,30,632
251,38,393,161
252,38,253,377
253,38,395,503
254,38,34,634
255,39,329,78
256,39,392,163
257,39,159,290
258,39,156,335
259,39,121,377
260,39,31,507
261,39,32,549
262,39,30,635
263,40,79,248
264,40,34,462
265,40,31,637
266,41,32,294
267,41,265,421
268,41,180,593
269,41,33,637
270,42,220,251
271,42,160,337
272,42,261,549
273,42,34,638
274,43,300,162
275,43,139,333
276,43,38,631
277,44,31,163
278,44,185,291
279,44,392,419
280,44,237,462
281,44,35,635
282,45,217,162
283,45,124,334
284,45,394,502
285,45,36,548
286,45,34,633
287,46,115,77
288,46,215,207
289,46,389,375
290,46,237,548
291,46,36,634
292,47,88,205
293,47,32,251
294,47,259,376
295,47,120,419
296,47,114,505
297,47,361,588
298,47,240,590
299,47,33,634
300,48,118,244
301,48,30,634
302,49,156,165
303,49,204,291
304,49,116,421
305,49,36,635
306,50,359,121
307,50,153,122
308,50,55,165
309,50,157,250
310,50,387,290
311,50,187,293
312,50,57,337
313,50,266,549
314,50,152,591
315,50,30,636
316,51,135,79
317,51,252,165
318,51,108,208
319,51,318,377
320,51,89,508
321,51,48,636
322,52,304,79
323,52,89,121
324,52,161,207
325,52,183,335
326,52,164,463
327,52,283,589
328,52,35,634
329,53,40,76
330,53,178,161
331,53,283,247
332,53,105,334
333,53,34,420
334,53,59,547
335,53,33,633
336,54,177,122
337,54,391,205
338,54,330,250
339,54,216,293
340,54,313,336
341,54,63,379
342,54,190,506
343,54,32,634
344,55,227,80
345,55,100,165
346,55,192,250
347,55,90,338
348,55,234,422
349,55,230,465
350,55,107,550
351,55,31,635
352,56,34,37
353,56,33,122
354,56,33,163
355,56,32,377
356,56,245,506
357,56,231,550
358,56,33,632
359,57,287,78
360,57,321,120
361,57,96,249
362,57,266,335
363,57,31,379
364,57,67,421
365,57,293,505
366,57,31,508
367,57,33,634
368,58,286,79
369,58,29,81
370,58,292,249
371,58,306,335
372,58,323,421
373,58,147,464
374,58,321,549
375,58,180,590
376,58,93,591
377,58,29,635
378,59,347,75
379,59,290,78
380,59,280,163
381,59,348,291
382,59,326,335
383,59,33,463
384,59,56,506
385,59,31,635
386,60,293,161
387,60,246,290
388,60,32,335
389,60,33,507
390,60,35,548
391,60,37,634
392,61,196,164
393,61,37,206
394,61,318,333
395,61,187,376
396,61,161,419
397,61,96,463
398,61,217,547
399,61,31,635
400,62,256,80
401,62,388,207
402,62,299,250
403,62,245,292
404,62,184,336
405,62,389,461
406,62,286,506
407,62,258,591
408,62,32,636
409,63,32,77
410,63,322,163
411,63,390,334
412,63,60,375
413,63,199,461
414,63,150,545
415,63,106,589
416,63,37,631
417,64,399,76
418,64,223,206
419,64,80,250
420,64,133,418
421,64,279,504
422,64,118,589
423,64,35,631
424,65,31,80
425,65,122,206
426,65,34,336
427,65,31,464
428,65,190,591
429,65,36,636
430,66,228,80
431,66,164,122
432,66,333,208
433,66,390,293
434,66,127,336
435,66,101,378
436,66,390,464
437,66,137,506
438,66,271,593
439,66,388,634
440,66,34,636
441,67,131,78
442,67,124,163
443,67,198,292
444,67,210,378
445,67,390,462
446,67,33,464
447,67,390,547
448,67,32,635
449,68,51,38
450,68,226,120
451,68,107,165
