aya_id,page,x,y
1,1,308,394
2,1,265,448
3,1,222,500
4,1,437,500
5,1,299,554
6,1,410,606
7,1,333,713
8,2,518,448
9,2,519,502
10,2,411,554
11,2,227,606
12,2,331,712
13,3,575,160
14,3,240,232
15,3,83,302
16,3,540,442
17,3,222,513
18,3,185,584
19,3,244,656
20,3,178,798
21,3,376,935
22,3,445,1008
23,3,82,1076
24,4,146,163
25,4,406,232
26,4,204,373
27,4,490,582
28,4,254,654
29,4,595,867
30,4,519,1007
31,4,82,1076
32,5,154,303
33,5,488,656
34,5,221,793
35,5,260,934
36,5,85,1074
37,6,145,236
38,6,222,374
39,6,183,445
40,6,449,656
41,6,131,725
42,6,155,867
43,6,145,1008
44,6,80,1078
45,7,233,164
46,7,82,232
47,7,362,374
48,7,413,517
49,7,459,584
50,7,382,653
51,7,82,722
52,7,82,792
53,7,82,863
54,7,543,1008
55,7,82,1078
56,8,475,228
57,8,273,298
58,8,83,371
59,8,83,442
60,8,83,512
61,8,599,790
62,8,207,863
63,8,285,931
64,8,84,1073
65,9,233,229
66,9,242,374
67,9,85,580
68,9,84,1075
69,10,216,230
70,10,203,371
71,10,577,510
72,10,341,581
73,10,187,650
74,10,83,789
75,10,586,1001
76,10,84,1073
77,11,441,164
78,11,133,304
79,11,82,375
80,11,400,517
81,11,81,728
82,11,564,938
83,11,82,1078
84,12,83,93
85,12,544,234
86,12,83,374
87,12,316,584
88,12,504,725
89,12,203,796
90,12,83,1078
91,13,84,164
92,13,430,654
93,13,85,723
94,13,217,1005
95,13,85,1074
96,14,80,225
97,14,81,437
98,14,557,718
99,14,129,787
100,14,81,1070
101,15,132,160
102,15,82,228
103,15,174,440
104,15,82,581
105,15,229,721
106,15,83,792
107,15,539,929
108,15,84,1071
109,16,339,657
110,16,85,727
111,16,176,866
112,16,86,1079
113,17,225,166
114,17,447,307
115,17,419,448
116,17,612,730
117,17,602,868
118,17,553,1011
119,17,85,1081
120,18,236,303
121,18,216,512
122,18,84,583
123,18,367,724
124,18,155,792
125,18,220,1001
126,18,84,1075
127,19,155,230
128,19,383,373
129,19,200,446
130,19,434,585
131,19,409,725
132,19,85,863
133,19,87,1075
134,20,341,161
135,20,420,304
136,20,289,443
137,20,320,582
138,20,371,654
139,20,456,795
140,20,425,1005
141,20,85,1074
142,21,348,168
143,21,83,377
144,21,83,515
145,21,555,658
146,21,84,727
147,21,476,1009
148,21,84,1078
149,22,578,234
150,22,438,585
151,22,462,867
152,22,83,1078
153,23,145,162
154,23,290,232
155,23,295,373
156,23,344,515
157,23,491,797
158,23,324,938
159,23,325,1009
160,23,84,1078
161,24,526,165
162,24,82,236
163,24,82,306
164,24,480,445
165,24,210,587
166,24,82,727
167,24,445,867
168,24,83,937
169,24,81,1008
170,24,81,1078
171,25,228,375
172,25,85,586
173,25,380,727
174,25,84,867
175,25,243,1008
176,25,84,1078
177,26,554,227
178,26,84,297
179,26,204,438
180,26,532,650
181,26,281,859
182,26,456,999
183,26,84,1071
184,27,373,513
185,27,406,793
186,27,367,864
187,27,356,1008
188,27,85,1077
189,28,371,161
190,28,464,301
191,28,86,512
192,28,239,935
193,28,84,1076
194,29,233,584
195,29,86,724
196,29,435,1006
197,29,85,1078
198,30,209,232
199,30,461,302
200,30,204,373
201,30,593,584
202,30,342,654
203,30,84,1077
204,31,371,302
205,31,473,583
206,31,86,653
207,31,86,864
208,31,184,1004
209,31,86,1074
210,32,86,227
211,32,87,368
212,32,326,508
