aya_id,page,x,y
1,1,466,620
2,1,439,703
3,1,735,705
4,1,447,787
5,1,540,870
6,1,589,954
7,1,459,1033
8,2,748,698
9,2,584,781
10,2,309,867
11,2,476,1038
12,3,733,201
13,3,340,291
14,3,107,384
15,3,686,569
16,3,313,661
17,3,234,754
18,3,331,847
19,3,246,1029
20,3,405,1217
21,3,438,1309
22,3,108,1402
23,4,286,199
24,4,609,292
25,4,519,476
26,4,107,662
27,4,578,846
28,4,761,1124
29,4,640,1309
30,4,109,1401
31,5,207,384
32,5,679,847
33,5,404,1031
34,5,369,1217
35,5,111,1402
36,6,106,292
37,6,339,476
38,6,228,569
39,6,755,846
40,6,179,939
41,6,206,1124
42,6,196,1309
43,6,106,1402
44,7,334,199
45,7,184,292
46,7,501,477
47,7,594,662
48,7,668,754
49,7,705,847
50,7,403,940
51,7,289,1032
52,7,328,1124
53,7,713,1309
54,7,102,1402
55,8,642,292
56,8,349,384
57,8,108,478
58,8,107,568
59,8,108,661
60,8,812,1032
61,8,332,1124
62,8,351,1217
63,8,109,1401
64,9,409,292
65,9,338,476
66,9,108,754
67,9,109,1402
68,10,292,291
69,10,318,476
70,10,753,662
71,10,435,754
72,10,253,847
73,10,107,1032
74,10,798,1309
75,10,108,1402
76,11,577,199
77,11,157,384
78,11,107,477
79,11,572,662
80,11,108,940
81,11,730,1217
82,11,105,1402
83,12,105,107
84,12,734,292
85,12,108,477
86,12,429,754
87,12,660,940
88,12,257,1032
89,12,107,1402
90,13,112,199
91,13,591,847
92,13,108,939
93,13,196,1309
94,13,110,1402
95,14,110,292
96,14,110,569
97,14,739,939
98,14,169,1032
99,14,115,1402
100,15,181,199
101,15,113,292
102,15,211,569
103,15,113,754
104,15,301,940
105,15,113,1032
106,15,729,1217
107,15,113,1402
108,16,457,847
109,16,117,938
110,16,233,1124
111,16,108,1402
112,17,785,132
113,17,297,199
114,17,593,384
115,17,550,569
116,17,814,939
117,17,805,1124
118,17,735,1309
119,17,111,1402
120,18,357,384
121,18,287,662
122,18,112,754
123,18,482,940
124,18,200,1032
125,18,314,1309
126,18,109,1402
127,19,204,292
128,19,480,477
129,19,247,569
130,19,569,754
131,19,567,940
132,19,785,1217
133,19,115,1402
134,20,440,200
135,20,552,385
136,20,365,570
